estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Contextual DAG,0.8937527206899043,8.239,8.306,0.3554594106695628,8.478,1.0,1000,20,5,10,1,erdos-renyi,4
Fixed DAG,0.42698899529228057,0.0,0.0,1.0,10.0,1.0,1000,20,5,10,1,erdos-renyi,4
Sorted DAG (fixed),0.676619494416449,3.82,4.864,0.7636057672590109,8.582,1.0,1000,20,5,10,1,erdos-renyi,4
Sorted DAG (truth),0.6537043295664293,4.121,5.139,0.7510182283062194,8.575,1.0,1000,20,5,10,1,erdos-renyi,4
Clustered DAG,0.7171107785733378,6.413,7.232,0.5833305813553493,7.914,1.0,1000,20,5,10,1,erdos-renyi,4
Contextual DAG,0.7510333463832686,4.87033523086654,5.7798861480075905,0.5557387092281142,9.836812144212523,1.0,3162,20,5,10,1,erdos-renyi,4
Fixed DAG,0.4998773286528154,0.0,0.0,1.0,10.0,1.0,3162,20,5,10,1,erdos-renyi,4
Sorted DAG (fixed),0.45100888595976174,0.8994307400379506,1.2432005060088551,0.9484236543144291,9.901328273244781,1.0,3162,20,5,10,1,erdos-renyi,4
Sorted DAG (truth),0.4505332018384006,1.2207463630613535,1.6555977229601517,0.9343576224579455,10.13472485768501,1.0,3162,20,5,10,1,erdos-renyi,4
Clustered DAG,0.7510038853868458,7.924098671726755,9.280518659076535,0.4883288716619325,9.234029095509172,1.0,3162,20,5,10,1,erdos-renyi,4
Contextual DAG,0.46005386490252165,1.3487,1.4192,0.879499707968158,10.1331,1.0,10000,20,5,10,1,erdos-renyi,4
Fixed DAG,0.4822680803062481,0.0,0.0,1.0,10.0,1.0,10000,20,5,10,1,erdos-renyi,4
Sorted DAG (fixed),0.4944468653374577,0.4102,0.4683,0.9745388538657759,9.8518,1.0,10000,20,5,10,1,erdos-renyi,4
Sorted DAG (truth),0.533269976105977,0.6153,0.7424,0.9666381350056897,10.0217,1.0,10000,20,5,10,1,erdos-renyi,4
Clustered DAG,0.7170069077939034,7.7555,8.2952,0.5322648066953015,9.7318,1.0,10000,20,5,10,1,erdos-renyi,4
Contextual DAG,1.1141345427033293,19.0,19.09,0.06918701212392729,11.87,1.0,100,20,2,10,1,erdos-renyi,5
Fixed DAG,0.6480410818302624,5.0,5.0,0.7058823529411765,7.0,1.0,100,20,2,10,1,erdos-renyi,5
Sorted DAG (fixed),0.9997338031126554,15.32,15.98,0.14283929948639673,8.32,1.0,100,20,2,10,1,erdos-renyi,5
