estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Fixed DAG,0.8622000195611819,4.632911392405063,4.813291139240507,0.40555325476211557,4.0,1.0,316,20,5,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.7777380587253071,4.0,4.39873417721519,0.39535784187682926,2.617088607594937,1.0,316,20,5,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.7250451921029898,2.892405063291139,3.3544303797468356,0.5704397696065335,2.9525316455696204,1.0,316,20,5,10,0.5,erdos-renyi,2
Clustered DAG,0.7405475723858629,4.594936708860759,4.75,0.4345149751795322,4.253164556962025,1.0,316,20,5,10,0.5,erdos-renyi,2
Contextual DAG,0.4348974333612683,3.284,3.708,0.6771425979952073,5.444,1.0,1000,20,5,10,0.5,erdos-renyi,2
Fixed DAG,0.9454266355429092,5.695,5.727,0.29324202464202465,5.0,1.0,1000,20,5,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.697788717116815,6.092,6.014,0.38717270034823803,6.23,1.0,1000,20,5,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.43691392564304576,1.652,1.982,0.8056320156537644,4.614,1.0,1000,20,5,10,0.5,erdos-renyi,2
Clustered DAG,0.7843387530169712,4.579,5.056,0.5014488233988234,4.999,1.0,1000,20,5,10,0.5,erdos-renyi,2
Contextual DAG,0.26262552058570776,1.7251739405439594,2.04775458570525,0.8312793719285028,5.578431372549019,1.0,3162,20,5,10,0.5,erdos-renyi,2
Fixed DAG,0.9456518627943729,5.652118912080962,6.021821631878558,0.31430175699625407,5.0,1.0,3162,20,5,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.6453135376284709,3.76786843769766,3.487033523086654,0.44530058582736864,4.431372549019608,1.0,3162,20,5,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.17363044737325706,1.5961416824794434,2.1499051233396584,0.8694463714103077,6.312460468058191,1.0,3162,20,5,10,0.5,erdos-renyi,2
Clustered DAG,0.5702526577230934,3.461416824794434,3.8779253636938646,0.6197041736359743,4.826691967109425,1.0,3162,20,5,10,0.5,erdos-renyi,2
Contextual DAG,0.2593890998638372,0.9395,1.1039,0.8837601198914752,4.9787,1.0,10000,20,5,10,0.5,erdos-renyi,2
Fixed DAG,0.9503720698720335,5.2937,4.8217,0.2868763542013543,4.0,1.0,10000,20,5,10,0.5,erdos-renyi,2
Sorted DAG (fixed),0.5801701783497581,2.7265,2.3369,0.5458017754072555,4.3721,1.0,10000,20,5,10,0.5,erdos-renyi,2
Sorted DAG (truth),0.16503926059667007,1.1068,1.3956,0.8945264166411504,5.8768,1.0,10000,20,5,10,0.5,erdos-renyi,2
Clustered DAG,0.47856131817873776,2.8572,3.1431,0.6693660352882415,4.9351,1.0,10000,20,5,10,0.5,erdos-renyi,2
Contextual DAG,0.8867117988288586,7.07,7.43,0.18719115516406537,4.35,1.0,100,20,2,10,0.5,scale-free,2
Fixed DAG,0.9521756020830834,6.81,6.56,0.21382245532245528,5.0,1.0,100,20,2,10,0.5,scale-free,2
Sorted DAG (fixed),0.8498625941194345,6.97,7.11,0.22869039895433083,4.88,1.0,100,20,2,10,0.5,scale-free,2
Sorted DAG (truth),0.7168714002699741,5.23,5.67,0.39999319789257876,4.23,1.0,100,20,2,10,0.5,scale-free,2
Clustered DAG,0.9521756020830834,6.81,6.56,0.21382245532245528,5.0,1.0,100,20,2,10,0.5,scale-free,2
Contextual DAG,0.3479061915302236,4.462025316455696,5.091772151898734,0.5391365617958785,5.284810126582278,1.0,316,20,2,10,0.5,scale-free,2
Fixed DAG,0.8342841261395872,4.977848101265823,5.3544303797468356,0.3343954568638114,5.0,1.0,316,20,2,10,0.5,scale-free,2
Sorted DAG (fixed),0.6809490498294151,5.082278481012659,4.787974683544304,0.3041104402331615,4.10126582278481,1.0,316,20,2,10,0.5,scale-free,2
Sorted DAG (truth),0.3662744529569167,2.9240506329113924,3.439873417721519,0.6362987745697801,4.4335443037974684,1.0,316,20,2,10,0.5,scale-free,2
Clustered DAG,0.5399725367268083,4.037974683544304,3.810126582278481,0.5135070449943869,5.5094936708860756,1.0,316,20,2,10,0.5,scale-free,2
Contextual DAG,0.3237275332827085,2.238,2.512,0.6855211253486794,4.562,1.0,1000,20,2,10,0.5,scale-free,2
Fixed DAG,0.8544354665895697,4.471,4.41,0.4086131701631702,5.0,1.0,1000,20,2,10,0.5,scale-free,2
Sorted DAG (fixed),0.5897711736492317,4.097,3.845,0.49075509333238165,5.123,1.0,1000,20,2,10,0.5,scale-free,2
Sorted DAG (truth),0.18044989372120632,2.337,2.676,0.7992992811470604,6.535,1.0,1000,20,2,10,0.5,scale-free,2
Clustered DAG,0.4066538282196454,3.099,3.411,0.671636120742003,5.274,1.0,1000,20,2,10,0.5,scale-free,2
Contextual DAG,0.18337808117963492,0.7125237191650854,0.7985452245414295,0.9177035948201813,5.041429475015812,1.0,3162,20,2,10,0.5,scale-free,2
Fixed DAG,0.9310997812655223,4.493674889310563,4.710309930423782,0.3573338426279603,3.0,1.0,3162,20,2,10,0.5,scale-free,2
